ID,RA,DEC,FREQ,SN,SigmaSN,SigmaSp,P,PE1,PE2,PSim,PSimE1,PSimE2,PPesimistic,PPesimisticE1,PPesimisticE2,PSimPesimistic,PSimPesimisticE1,PSimPesimisticE2
Survey_EL.790,10:00:54.721,+02:34:39.452,343.693,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.791,10:00:54.383,+02:34:40.136,342.928,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.792,10:00:54.274,+02:34:35.690,342.894,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.793,10:00:54.680,+02:34:25.704,342.164,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.794,10:00:53.886,+02:34:37.468,343.567,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.795,10:00:53.949,+02:34:31.518,342.905,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.796,10:00:54.310,+02:34:40.068,343.499,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.797,10:00:55.364,+02:34:35.006,344.743,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.798,10:00:54.064,+02:34:31.449,343.636,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.799,10:00:54.648,+02:34:24.199,342.095,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.800,10:00:54.073,+02:34:36.442,343.168,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.801,10:00:55.159,+02:34:43.488,343.419,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.802,10:00:55.031,+02:34:34.322,341.958,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
